Clustered,Randomized
0.964285714286,1.0
0.95,1.0
0.941176470588,1.0
0.909090909091,1.0
0.884615384615,1.0
0.84,1.0
0.714285714286,1.0
0.5,1.0
0.5,1.0
0.5,1.0
0.444444444444,1.0
0.4,1.0
0.333333333333,1.0
0.333333333333,1.0
0.266666666667,1.0
0.25,1.0
0.833333333333,1.0
0.8,1.0
0.76,1.0
0.75,1.0
0.708333333333,1.0
0.666666666667,1.0
0.571428571429,0.857142857143
0.428571428571,0.833333333333
0.363636363636,0.833333333333
0.363636363636,0.833333333333
0.352941176471,0.833333333333
0.347826086957,0.833333333333
0.333333333333,0.8
0.272727272727,0.8
1.0,0.8
0.75,0.8
0.727272727273,0.8
0.7,0.8
0.620689655172,0.8
0.5,0.8
0.444444444444,0.8
0.444444444444,0.8
0.416666666667,0.8
0.4,0.8
0.384615384615,0.8
0.333333333333,0.8
0.3,0.8
0.230769230769,0.8
0.875,0.8
0.857142857143,0.777777777778
0.777777777778,0.75
0.777777777778,0.75
0.75,0.75
0.727272727273,0.75
0.692307692308,0.75
0.666666666667,0.75
0.666666666667,0.75
0.375,0.75
0.375,0.75
0.333333333333,0.75
0.285714285714,0.75
0.25,0.75
0.25,0.75
0.25,0.75
1.0,0.75
0.862068965517,0.75
0.826086956522,0.75
0.692307692308,0.75
0.625,0.75
0.4,0.75
0.4,0.75
0.4,0.75
0.4,0.75
0.380952380952,0.75
0.333333333333,0.75
0.333333333333,0.75
0.333333333333,0.75
0.3,0.75
0.222222222222,0.75
1.0,0.75
0.95652173913,0.75
0.95,0.75
0.882352941176,0.75
0.870967741935,0.75
0.869565217391,0.75
0.75,0.75
0.666666666667,0.75
0.6,0.75
0.6,0.75
0.5,0.75
0.5,0.75
0.428571428571,0.75
0.416666666667,0.75
0.333333333333,0.75
0.333333333333,0.75
0.333333333333,0.75
0.25,0.75
0.8,0.75
0.666666666667,0.75
0.62962962963,0.75
0.571428571429,0.75
0.5,0.75
0.5,0.75
0.5,0.75
0.5,0.75
0.5,0.75
0.454545454545,0.75
0.375,0.75
0.333333333333,0.75
0.333333333333,0.75
0.307692307692,0.75
0.3,0.75
0.291666666667,0.75
0.25,0.75
0.25,0.75
0.948717948718,0.75
0.931034482759,0.75
0.913043478261,0.75
0.875,0.75
0.851851851852,0.75
0.75,0.75
0.739130434783,0.75
0.727272727273,0.75
0.666666666667,0.75
0.666666666667,0.75
0.5,0.75
0.5,0.75
0.428571428571,0.75
0.428571428571,0.75
0.333333333333,0.75
0.333333333333,0.75
0.941176470588,0.75
0.909090909091,0.75
0.8125,0.75
0.8,0.75
0.791666666667,0.75
0.75,0.75
0.666666666667,0.75
0.428571428571,0.75
0.4,0.75
0.375,0.75
0.333333333333,0.75
0.333333333333,0.75
0.333333333333,0.75
0.928571428571,0.75
0.875,0.75
0.78125,0.75
0.75,0.75
0.666666666667,0.75
0.666666666667,0.75
0.5,0.75
0.5,0.75
0.5,0.75
0.5,0.75
0.454545454545,0.75
0.428571428571,0.75
0.428571428571,0.75
0.428571428571,0.75
0.416666666667,0.75
0.375,0.75
0.333333333333,0.75
0.333333333333,0.75
0.277777777778,0.75
0.964285714286,0.75
0.95,0.75
0.941176470588,0.75
0.909090909091,0.75
0.884615384615,0.75
0.84,0.75
0.714285714286,0.75
0.5,0.75
0.5,0.75
0.5,0.75
0.444444444444,0.75
0.4,0.75
0.333333333333,0.75
0.333333333333,0.75
0.266666666667,0.75
0.25,0.75
0.833333333333,0.75
0.8,0.75
0.76,0.75
0.75,0.75
0.708333333333,0.75
0.666666666667,0.75
0.571428571429,0.75
0.428571428571,0.75
0.363636363636,0.75
0.363636363636,0.75
0.352941176471,0.75
0.347826086957,0.75
0.333333333333,0.75
0.272727272727,0.75
1.0,0.75
0.75,0.75
0.727272727273,0.75
0.7,0.75
0.620689655172,0.75
0.5,0.75
0.444444444444,0.75
0.444444444444,0.75
0.416666666667,0.75
0.4,0.75
0.384615384615,0.75
0.333333333333,0.75
0.3,0.75
0.230769230769,0.75
0.875,0.75
0.857142857143,0.75
0.777777777778,0.75
0.777777777778,0.75
0.75,0.75
0.727272727273,0.75
0.692307692308,0.75
0.666666666667,0.75
0.666666666667,0.75
0.375,0.75
0.375,0.75
0.333333333333,0.75
0.285714285714,0.75
0.25,0.75
0.25,0.75
0.25,0.75
1.0,0.75
0.862068965517,0.75
0.826086956522,0.75
0.692307692308,0.75
0.625,0.75
0.4,0.75
0.4,0.75
0.4,0.75
0.4,0.75
0.380952380952,0.75
0.333333333333,0.75
0.333333333333,0.75
0.333333333333,0.75
0.3,0.75
0.222222222222,0.75
1.0,0.75
0.95652173913,0.75
0.95,0.75
0.882352941176,0.75
0.870967741935,0.75
0.869565217391,0.75
0.75,0.75
0.666666666667,0.75
0.6,0.75
0.6,0.75
0.5,0.75
0.5,0.75
0.428571428571,0.75
0.416666666667,0.75
0.333333333333,0.75
0.333333333333,0.75
0.333333333333,0.75
0.25,0.75
0.8,0.75
0.666666666667,0.75
0.62962962963,0.75
0.571428571429,0.75
0.5,0.75
0.5,0.75
0.5,0.75
0.5,0.75
0.5,0.75
0.454545454545,0.75
0.375,0.75
0.333333333333,0.75
0.333333333333,0.75
0.307692307692,0.75
0.3,0.75
0.291666666667,0.75
0.25,0.75
0.25,0.75
0.948717948718,0.75
0.931034482759,0.75
0.913043478261,0.75
0.875,0.75
0.851851851852,0.75
0.75,0.75
0.739130434783,0.75
0.727272727273,0.75
0.666666666667,0.75
0.666666666667,0.75
0.5,0.75
0.5,0.75
0.428571428571,0.75
0.428571428571,0.75
0.333333333333,0.75
0.333333333333,0.75
0.941176470588,0.75
0.909090909091,0.75
0.8125,0.75
0.8,0.75
0.791666666667,0.75
0.75,0.75
0.666666666667,0.75
0.428571428571,0.75
0.4,0.75
0.375,0.75
0.333333333333,0.75
0.333333333333,0.75
0.333333333333,0.75
0.928571428571,0.75
0.875,0.75
0.78125,0.75
0.75,0.75
0.666666666667,0.75
0.666666666667,0.75
0.5,0.75
0.5,0.75
0.5,0.75
0.5,0.75
0.454545454545,0.75
0.428571428571,0.75
0.428571428571,0.75
0.428571428571,0.75
0.416666666667,0.75
0.375,0.75
0.333333333333,0.75
0.333333333333,0.75
